Incident_ID, Date, Time, Location, Description, Type_of_Crime, Victim, Perpetrator
242, 2023-09-04, 08:45, Sao Paulo, Insider trading investigation at an investment firm, Financial Fraud, Investment Firm, Insider Employee
243, 2023-09-03, 11:20, Moscow, Phishing scam targeting banking customers, Fraud, Banking Customers, Phishing Gang
244, 2023-09-02, 14:55, Berlin, Unauthorized access to confidential legal files, Unauthorized Access, Law Firm, Insider Employee
245, 2023-09-01, 08:40, Los Angeles, Email phishing scam targeting university students, Fraud, University Students, Phishing Gang
246, 2023-08-31, 11:15, Toronto, Insider trading investigation at a financial institution, Financial Fraud, Financial Institution, Insider Employee
247, 2023-08-30, 13:40, Sydney, Phishing attack on a technology company's employees, Fraud, Technology Company, Phishing Gang
248, 2023-08-29, 08:55, Paris, Business email compromise (BEC) scam targeting executives, Fraud, Executives, Business Email Compromise Group AA
249, 2023-08-28, 10:20, London, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group EEE
250, 2023-08-27, 12:45, Tokyo, Insider trading investigation at a financial services firm, Financial Fraud, Financial Services Firm, Insider Employee
251, 2023-08-26, 14:50, New York, Phishing attack on a healthcare organization's employees, Fraud, Healthcare Organization, Hacker Group FFF
252, 2023-08-25, 08:45, Beijing, Ransomware attack on a manufacturing company's systems, Extortion, Manufacturing Company, Ransomware Gang
253, 2023-08-24, 11:20, Los Angeles, Identity theft through compromised online shopping accounts, Identity Theft, Online Shoppers, Fraudster
254, 2023-08-23, 13:45, Toronto, Social media account hacking for spreading misinformation, Fraud, Social Media Users, Cybercriminal Group GGG
255, 2023-08-22, 08:50, Sydney, Unauthorized access to corporate network, Unauthorized Access, Corporation, Insider Employee
256, 2023-08-21, 10:25, Paris, Email account compromise leading to wire transfer fraud, Fraud, Individuals, Business Email Compromise Group AB
257, 2023-08-20, 14:50, London, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group HHH
258, 2023-08-19, 08:45, Tokyo, Insider trading investigation at an investment firm, Financial Fraud, Investment Firm, Insider Employee
259, 2023-08-18, 11:20, New York, Phishing scam targeting banking customers, Fraud, Banking Customers, Phishing Gang
260, 2023-08-17, 14:55, Beijing, Unauthorized access to confidential legal files, Unauthorized Access, Law Firm, Insider Employee
261, 2023-08-16, 08:40, Mumbai, Email phishing scam targeting university students, Fraud, University Students, Phishing Gang
262, 2023-08-15, 11:15, Sao Paulo, Insider trading investigation at a financial institution, Financial Fraud, Financial Institution, Insider Employee
263, 2023-08-14, 13:40, Moscow, Phishing attack on a technology company's employees, Fraud, Technology Company, Phishing Gang
264, 2023-08-13, 08:55, Berlin, Business email compromise (BEC) scam targeting executives, Fraud, Executives, Business Email Compromise Group AC
265, 2023-08-12, 10:20, Los Angeles, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group III
266, 2023-08-11, 12:45, Toronto, Insider trading investigation at a financial services firm, Financial Fraud, Financial Services Firm, Insider Employee
267, 2023-08-10, 14:50, Sydney, Phishing attack on a healthcare organization's employees, Fraud, Healthcare Organization, Hacker Group JJJ
268, 2023-08-09, 08:45, Paris, Ransomware attack on a manufacturing company's systems, Extortion, Manufacturing Company, Ransomware Gang
269, 2023-08-08, 11:20, London, Identity theft through compromised online shopping accounts, Identity Theft, Online Shoppers, Fraudster
270, 2023-08-07, 13:45, Tokyo, Social media account hacking for spreading misinformation, Fraud, Social Media Users, Cybercriminal Group KKK
271, 2023-08-06, 08:50, New York, Unauthorized access to corporate network, Unauthorized Access, Corporation, Insider Employee
272, 2023-08-05, 10:25, Beijing, Email account compromise leading to wire transfer fraud, Fraud, Individuals, Business Email Compromise Group AD
273, 2023-08-04, 14:50, Mumbai, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group LLL
274, 2023-08-03, 08:45, Sao Paulo, Insider trading investigation at an investment firm, Financial Fraud, Investment Firm, Insider Employee
275, 2023-08-02, 11:20, Moscow, Phishing scam targeting banking customers, Fraud, Banking Customers, Phishing Gang
276, 2023-08-01, 14:55, Berlin, Unauthorized access to confidential legal files, Unauthorized Access, Law Firm, Insider Employee
277, 2023-07-31, 08:40, Los Angeles, Email phishing scam targeting university students, Fraud, University Students, Phishing Gang
278, 2023-07-30, 11:15, Toronto, Insider trading investigation at a financial institution, Financial Fraud, Financial Institution, Insider Employee
279, 2023-07-29, 13:40, Sydney, Phishing attack on a technology company's employees, Fraud, Technology Company, Phishing Gang
280, 2023-07-28, 08:55, Paris, Business email compromise (BEC) scam targeting executives, Fraud, Executives, Business Email Compromise Group AE
281, 2023-07-27, 10:20, London, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group MMM
282, 2023-07-26, 12:45, Tokyo, Insider trading investigation at a financial services firm, Financial Fraud, Financial Services Firm, Insider Employee
283, 2023-07-25, 14:50, New York, Phishing attack on a healthcare organization's employees, Fraud, Healthcare Organization, Hacker Group NNN
284, 2023-07-24, 08:45, Beijing, Ransomware attack on a manufacturing company's systems, Extortion, Manufacturing Company, Ransomware Gang
285, 2023-07-23, 11:20, Los Angeles, Identity theft through compromised online shopping accounts, Identity Theft, Online Shoppers, Fraudster
286, 2023-07-22, 13:45, Toronto, Social media account hacking for spreading misinformation, Fraud, Social Media Users, Cybercriminal Group OOO
287, 2023-07-21, 08:50, Sydney, Unauthorized access to corporate network, Unauthorized Access, Corporation, Insider Employee
288, 2023-07-20, 10:25, Paris, Email account compromise leading to wire transfer fraud, Fraud, Individuals, Business Email Compromise Group AF
289, 2023-07-19, 14:50, London, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group PPP
290, 2023-07-18, 08:45, Tokyo, Insider trading investigation at an investment firm, Financial Fraud, Investment Firm, Insider Employee
291, 2023-07-17, 11:20, New York, Phishing scam targeting banking customers, Fraud, Banking Customers, Phishing Gang
292, 2023-07-16, 14:55, Beijing, Unauthorized access to confidential legal files, Unauthorized Access, Law Firm, Insider Employee
293, 2023-07-15, 08:40, Mumbai, Email phishing scam targeting university students, Fraud, University Students, Phishing Gang
294, 2023-07-14, 11:15, Sao Paulo, Insider trading investigation at a financial institution, Financial Fraud, Financial Institution, Insider Employee
295, 2023-07-13, 13:40, Moscow, Phishing attack on a technology company's employees, Fraud, Technology Company, Phishing Gang
296, 2023-07-12, 08:55, Berlin, Business email compromise (BEC) scam targeting executives, Fraud, Executives, Business Email Compromise Group AG
297, 2023-07-11, 10:20, Los Angeles, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group QQQ
298, 2023-07-10, 12:45, Toronto, Insider trading investigation at a financial services firm, Financial Fraud, Financial Services Firm, Insider Employee
299, 2023-07-09, 14:50, Sydney, Phishing attack on a healthcare organization's employees, Fraud, Healthcare Organization, Hacker Group OOO
300, 2023-07-08, 08:45, Paris, Ransomware attack on a manufacturing company's systems, Extortion, Manufacturing Company, Ransomware Gang
301, 2023-07-07, 11:20, London, Identity theft through compromised online shopping accounts, Identity Theft, Online Shoppers, Fraudster
302, 2023-07-06, 13:45, Tokyo, Social media account hacking for spreading misinformation, Fraud, Social Media Users, Cybercriminal Group RRR
303, 2023-07-05, 08:50, New York, Unauthorized access to corporate network, Unauthorized Access, Corporation, Insider Employee
304, 2023-07-04, 10:25, Beijing, Email account compromise leading to wire transfer fraud, Fraud, Individuals, Business Email Compromise Group AH
305, 2023-07-03, 14:50, Mumbai, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group SSS
306, 2023-07-02, 08:45, Sao Paulo, Insider trading investigation at an investment firm, Financial Fraud, Investment Firm, Insider Employee
307, 2023-07-01, 11:20, Moscow, Phishing scam targeting banking customers, Fraud, Banking Customers, Phishing Gang
308, 2023-06-30, 14:55, Berlin, Unauthorized access to confidential legal files, Unauthorized Access, Law Firm, Insider Employee
309, 2023-06-29, 08:40, Los Angeles, Email phishing scam targeting university students, Fraud, University Students, Phishing Gang
310, 2023-06-28, 11:15, Toronto, Insider trading investigation at a financial institution, Financial Fraud, Financial Institution, Insider Employee
311, 2023-06-27, 13:40, Sydney, Phishing attack on a technology company's employees, Fraud, Technology Company, Phishing Gang
312, 2023-06-26, 08:55, Paris, Business email compromise (BEC) scam targeting executives, Fraud, Executives, Business Email Compromise Group AI
313, 2023-06-25, 10:20, London, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group TTT
314, 2023-06-24, 12:45, Tokyo, Insider trading investigation at a financial services firm, Financial Fraud, Financial Services Firm, Insider Employee
315, 2023-06-23, 14:50, New York, Phishing attack on a healthcare organization's employees, Fraud, Healthcare Organization, Hacker Group PPP
316, 2023-06-22, 08:45, Beijing, Ransomware attack on a manufacturing company's systems, Extortion, Manufacturing Company, Ransomware Gang
317, 2023-06-21, 11:20, Los Angeles, Identity theft through compromised online shopping accounts, Identity Theft, Online Shoppers, Fraudster
318, 2023-06-20, 13:45, Toronto, Social media account hacking for spreading misinformation, Fraud, Social Media Users, Cybercriminal Group UUU
319, 2023-06-19, 08:50, Sydney, Unauthorized access to corporate network, Unauthorized Access, Corporation, Insider Employee
320, 2023-06-18, 10:25, Paris, Email account compromise leading to wire transfer fraud, Fraud, Individuals, Business Email Compromise Group AJ
321, 2023-06-17, 14:50, London, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group VVV
322, 2023-06-16, 08:45, Tokyo, Insider trading investigation at an investment firm, Financial Fraud, Investment Firm, Insider Employee
323, 2023-06-15, 11:20, New York, Phishing scam targeting banking customers, Fraud, Banking Customers, Phishing Gang
324, 2023-06-14, 14:55, Beijing, Unauthorized access to confidential legal files, Unauthorized Access, Law Firm, Insider Employee
325, 2023-06-13, 08:40, Mumbai, Email phishing scam targeting university students, Fraud, University Students, Phishing Gang
326, 2023-06-12, 11:15, Sao Paulo, Insider trading investigation at a financial institution, Financial Fraud, Financial Institution, Insider Employee
327, 2023-06-11, 13:40, Moscow, Phishing attack on a technology company's employees, Fraud, Technology Company, Phishing Gang
328, 2023-06-10, 08:55, Berlin, Business email compromise (BEC) scam targeting executives, Fraud, Executives, Business Email Compromise Group AK
329, 2023-06-09, 10:20, Los Angeles, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group WWW
330, 2023-06-08, 12:45, Toronto, Insider trading investigation at a financial services firm, Financial Fraud, Financial Services Firm, Insider Employee
331, 2023-06-07, 14:50, Sydney, Phishing attack on a healthcare organization's employees, Fraud, Healthcare Organization, Hacker Group QQQ
332, 2023-06-06, 08:45, Paris, Ransomware attack on a manufacturing company's systems, Extortion, Manufacturing Company, Ransomware Gang
333, 2023-06-05, 11:20, London, Identity theft through compromised online shopping accounts, Identity Theft, Online Shoppers, Fraudster
334, 2023-06-04, 13:45, Tokyo, Social media account hacking for spreading misinformation, Fraud, Social Media Users, Cybercriminal Group XXX
335, 2023-06-03, 08:50, New York, Unauthorized access to corporate network, Unauthorized Access, Corporation, Insider Employee
336, 2023-06-02, 10:25, Beijing, Email account compromise leading to wire transfer fraud, Fraud, Individuals, Business Email Compromise Group AL
337, 2023-06-01, 14:50, Mumbai, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group YYY
338, 2023-05-31, 08:45, Sao Paulo, Insider trading investigation at an investment firm, Financial Fraud, Investment Firm, Insider Employee
339, 2023-05-30, 11:20, Moscow, Phishing scam targeting banking customers, Fraud, Banking Customers, Phishing Gang
340, 2023-05-29, 14:55, Berlin, Unauthorized access to confidential legal files, Unauthorized Access, Law Firm, Insider Employee
341, 2023-05-28, 08:40, Los Angeles, Email phishing scam targeting university students, Fraud, University Students, Phishing Gang
342, 2023-05-27, 11:15, Toronto, Insider trading investigation at a financial institution, Financial Fraud, Financial Institution, Insider Employee
343, 2023-05-26, 13:40, Sydney, Phishing attack on a technology company's employees, Fraud, Technology Company, Phishing Gang
344, 2023-05-25, 08:55, Paris, Business email compromise (BEC) scam targeting executives, Fraud, Executives, Business Email Compromise Group AM
345, 2023-05-24, 10:20, London, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group ZZZ
346, 2023-05-23, 12:45, Tokyo, Insider trading investigation at a financial services firm, Financial Fraud, Financial Services Firm, Insider Employee
347, 2023-05-22, 14:50, New York, Phishing attack on a healthcare organization's employees, Fraud, Healthcare Organization, Hacker Group RRR
348, 2023-05-21, 08:45, Beijing, Ransomware attack on a manufacturing company's systems, Extortion, Manufacturing Company, Ransomware Gang
349, 2023-05-20, 11:20, Los Angeles, Identity theft through compromised online shopping accounts, Identity Theft, Online Shoppers, Fraudster
350, 2023-05-19, 13:45, Toronto, Social media account hacking for spreading misinformation, Fraud, Social Media Users, Cybercriminal Group QQQ
351, 2023-05-18, 08:50, Sydney, Unauthorized access to corporate network, Unauthorized Access, Corporation, Insider Employee
352, 2023-05-17, 10:25, Paris, Email account compromise leading to wire transfer fraud, Fraud, Individuals, Business Email Compromise Group AN
353, 2023-05-16, 14:50, London, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group AAA
354, 2023-05-15, 08:45, Tokyo, Insider trading investigation at an investment firm, Financial Fraud, Investment Firm, Insider Employee
355, 2023-05-14, 11:20, New York, Phishing scam targeting banking customers, Fraud, Banking Customers, Phishing Gang
356, 2023-05-13, 14:55, Beijing, Unauthorized access to confidential legal files, Unauthorized Access, Law Firm, Insider Employee
357, 2023-05-12, 08:40, Mumbai, Email phishing scam targeting university students, Fraud, University Students, Phishing Gang
358, 2023-05-11, 11:15, Sao Paulo, Insider trading investigation at a financial institution, Financial Fraud, Financial Institution, Insider Employee
359, 2023-05-10, 13:40, Moscow, Phishing attack on a technology company's employees, Fraud, Technology Company, Phishing Gang
360, 2023-05-09, 08:55, Berlin, Business email compromise (BEC) scam targeting executives, Fraud, Executives, Business Email Compromise Group AO
361, 2023-05-08, 10:20, Los Angeles, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group BBB
362, 2023-05-07, 12:45, Toronto, Insider trading investigation at a financial services firm, Financial Fraud, Financial Services Firm, Insider Employee
363, 2023-05-06, 14:50, Sydney, Phishing attack on a healthcare organization's employees, Fraud, Healthcare Organization, Hacker Group SSS
364, 2023-05-05, 08:45, Paris, Ransomware attack on a manufacturing company's systems, Extortion, Manufacturing Company, Ransomware Gang
365, 2023-05-04, 11:20, London, Identity theft through compromised online shopping accounts, Identity Theft, Online Shoppers, Fraudster
366, 2023-05-03, 13:45, Tokyo, Social media account hacking for spreading misinformation, Fraud, Social Media Users, Cybercriminal Group CCC
367, 2023-05-02, 08:50, New York, Unauthorized access to corporate network, Unauthorized Access, Corporation, Insider Employee
368, 2023-05-01, 10:25, Beijing, Email account compromise leading to wire transfer fraud, Fraud, Individuals, Business Email Compromise Group AP
369, 2023-04-30, 14:50, Mumbai, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group DDD
370, 2023-04-29, 08:45, Sao Paulo, Insider trading investigation at an investment firm, Financial Fraud, Investment Firm, Insider Employee
371, 2023-04-28, 11:20, Moscow, Phishing scam targeting banking customers, Fraud, Banking Customers, Phishing Gang
372, 2023-04-27, 13:40, Berlin, Unauthorized access to confidential legal files, Unauthorized Access, Law Firm, Insider Employee
373, 2023-04-26, 08:55, Los Angeles, Email phishing scam targeting university students, Fraud, University Students, Phishing Gang
374, 2023-04-25, 11:15, Toronto, Insider trading investigation at a financial institution, Financial Fraud, Financial Institution, Insider Employee
375, 2023-04-24, 13:40, Sydney, Phishing attack on a technology company's employees, Fraud, Technology Company, Phishing Gang
376, 2023-04-23, 08:45, Paris, Business email compromise (BEC) scam targeting executives, Fraud, Executives, Business Email Compromise Group AQ
377, 2023-04-22, 10:20, London, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group CCC
378, 2023-04-21, 12:45, Tokyo, Insider trading investigation at a financial services firm, Financial Fraud, Financial Services Firm, Insider Employee
379, 2023-04-20, 14:50, New York, Phishing attack on a healthcare organization's employees, Fraud, Healthcare Organization, Hacker Group TTT
380, 2023-04-19, 08:45, Beijing, Ransomware attack on a manufacturing company's systems, Extortion, Manufacturing Company, Ransomware Gang
381, 2023-04-18, 11:20, Los Angeles, Identity theft through compromised online shopping accounts, Identity Theft, Online Shoppers, Fraudster
382, 2023-04-17, 13:45, Toronto, Social media account hacking for spreading misinformation, Fraud, Social Media Users, Cybercriminal Group DDD
383, 2023-04-16, 08:50, Sydney, Unauthorized access to corporate network, Unauthorized Access, Corporation, Insider Employee
384, 2023-04-15, 10:25, Paris, Email account compromise leading to wire transfer fraud, Fraud, Individuals, Business Email Compromise Group AR
385, 2023-04-14, 14:50, London, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group EEE
386, 2023-04-13, 08:45, Tokyo, Insider trading investigation at an investment firm, Financial Fraud, Investment Firm, Insider Employee
387, 2023-04-12, 11:20, New York, Phishing scam targeting banking customers, Fraud, Banking Customers, Phishing Gang
388, 2023-04-11, 14:55, Beijing, Unauthorized access to confidential legal files, Unauthorized Access, Law Firm, Insider Employee
389, 2023-04-10, 08:40, Mumbai, Email phishing scam targeting university students, Fraud, University Students, Phishing Gang
390, 2023-04-09, 11:15, Sao Paulo, Insider trading investigation at a financial institution, Financial Fraud, Financial Institution, Insider Employee
391, 2023-04-08, 13:40, Moscow, Phishing attack on a technology company's employees, Fraud, Technology Company, Phishing Gang
392, 2023-04-07, 08:55, Berlin, Business email compromise (BEC) scam targeting executives, Fraud, Executives, Business Email Compromise Group AS
393, 2023-04-06, 10:20, Los Angeles, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group FFF
394, 2023-04-05, 12:45, Toronto, Insider trading investigation at a financial services firm, Financial Fraud, Financial Services Firm, Insider Employee
395, 2023-04-04, 14:50, Sydney, Phishing attack on a healthcare organization's employees, Fraud, Healthcare Organization, Hacker Group UUU
396, 2023-04-03, 08:45, Paris, Ransomware attack on a manufacturing company's systems, Extortion, Manufacturing Company, Ransomware Gang
397, 2023-04-02, 11:20, London, Identity theft through compromised online shopping accounts, Identity Theft, Online Shoppers, Fraudster
398, 2023-04-01, 13:45, Tokyo, Social media account hacking for spreading misinformation, Fraud, Social Media Users, Cybercriminal Group GGG
399, 2023-03-31, 08:50, New York, Unauthorized access to corporate network, Unauthorized Access, Corporation, Insider Employee
400, 2023-03-30, 10:25, Beijing, Email account compromise leading to wire transfer fraud, Fraud, Individuals, Business Email Compromise Group AT
401, 2023-03-29, 14:50, Mumbai, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group HHH
402, 2023-03-28, 08:45, Sao Paulo, Insider trading investigation at an investment firm, Financial Fraud, Investment Firm, Insider Employee
403, 2023-03-27, 11:20, Moscow, Phishing scam targeting banking customers, Fraud, Banking Customers, Phishing Gang
404, 2023-03-26, 13:40, Berlin, Unauthorized access to confidential legal files, Unauthorized Access, Law Firm, Insider Employee
405, 2023-03-25, 08:55, Los Angeles, Email phishing scam targeting university students, Fraud, University Students, Phishing Gang
406, 2023-03-24, 11:15, Toronto, Insider trading investigation at a financial institution, Financial Fraud, Financial Institution, Insider Employee
407, 2023-03-23, 13:40, Sydney, Phishing attack on a technology company's employees, Fraud, Technology Company, Phishing Gang
408, 2023-03-22, 08:45, Paris, Business email compromise (BEC) scam targeting executives, Fraud, Executives, Business Email Compromise Group AU
409, 2023-03-21, 10:20, London, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group III
410, 2023-03-20, 12:45, Tokyo, Insider trading investigation at a financial services firm, Financial Fraud, Financial Services Firm, Insider Employee
411, 2023-03-19, 14:50, New York, Phishing attack on a healthcare organization's employees, Fraud, Healthcare Organization, Hacker Group VVV
412, 2023-03-18, 08:45, Beijing, Ransomware attack on a manufacturing company's systems, Extortion, Manufacturing Company, Ransomware Gang
413, 2023-03-17, 11:20, Los Angeles, Identity theft through compromised online shopping accounts, Identity Theft, Online Shoppers, Fraudster
414, 2023-03-16, 13:45, Toronto, Social media account hacking for spreading misinformation, Fraud, Social Media Users, Cybercriminal Group JJJ
415, 2023-03-15, 08:50, Sydney, Unauthorized access to corporate network, Unauthorized Access, Corporation, Insider Employee
416, 2023-03-14, 10:25, Paris, Email account compromise leading to wire transfer fraud, Fraud, Individuals, Business Email Compromise Group AV
417, 2023-03-13, 14:50, London, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group KKK
418, 2023-03-12, 08:45, Tokyo, Insider trading investigation at an investment firm, Financial Fraud, Investment Firm, Insider Employee
419, 2023-03-11, 11:20, New York, Phishing scam targeting banking customers, Fraud, Banking Customers, Phishing Gang
420, 2023-03-10, 14:55, Beijing, Unauthorized access to confidential legal files, Unauthorized Access, Law Firm, Insider Employee
421, 2023-03-09, 08:40, Mumbai, Email phishing scam targeting university students, Fraud, University Students, Phishing Gang
422, 2023-03-08, 11:15, Sao Paulo, Insider trading investigation at a financial institution, Financial Fraud, Financial Institution, Insider Employee
423, 2023-03-07, 13:40, Moscow, Phishing attack on a technology company's employees, Fraud, Technology Company, Phishing Gang
424, 2023-03-06, 08:55, Berlin, Business email compromise (BEC) scam targeting executives, Fraud, Executives, Business Email Compromise Group AW
425, 2023-03-05, 10:20, Los Angeles, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group LLL
426, 2023-03-04, 12:45, Toronto, Insider trading investigation at a financial services firm, Financial Fraud, Financial Services Firm, Insider Employee
427, 2023-03-03, 14:50, Sydney, Phishing attack on a healthcare organization's employees, Fraud, Healthcare Organization, Hacker Group WWW
428, 2023-03-02, 08:45, Paris, Ransomware attack on a manufacturing company's systems, Extortion, Manufacturing Company, Ransomware Gang
429, 2023-03-01, 11:20, London, Identity theft through compromised online shopping accounts, Identity Theft, Online Shoppers, Fraudster
430, 2023-02-28, 13:45, Tokyo, Social media account hacking for spreading misinformation, Fraud, Social Media Users, Cybercriminal Group MMM
431, 2023-02-27, 08:50, New York, Unauthorized access to corporate network, Unauthorized Access, Corporation, Insider Employee
432, 2023-02-26, 10:25, Beijing, Email account compromise leading to wire transfer fraud, Fraud, Individuals, Business Email Compromise Group AX
433, 2023-02-25, 14:50, Mumbai, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group NNN
434, 2023-02-24, 08:45, Sao Paulo, Insider trading investigation at an investment firm, Financial Fraud, Investment Firm, Insider Employee
435, 2023-02-23, 11:20, Moscow, Phishing scam targeting banking customers, Fraud, Banking Customers, Phishing Gang
436, 2023-02-22, 13:40, Berlin, Unauthorized access to confidential legal files, Unauthorized Access, Law Firm, Insider Employee
437, 2023-02-21, 08:55, Los Angeles, Email phishing scam targeting university students, Fraud, University Students, Phishing Gang
438, 2023-02-20, 11:15, Toronto, Insider trading investigation at a financial institution, Financial Fraud, Financial Institution, Insider Employee
439, 2023-02-19, 13:40, Sydney, Phishing attack on a technology company's employees, Fraud, Technology Company, Phishing Gang
440, 2023-02-18, 08:45, Paris, Business email compromise (BEC) scam targeting executives, Fraud, Executives, Business Email Compromise Group AY
441, 2023-02-17, 10:20, London, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group NNN
442, 2023-02-16, 12:45, Tokyo, Insider trading investigation at a financial services firm, Financial Fraud, Financial Services Firm, Insider Employee
443, 2023-02-15, 14:50, New York, Phishing attack on a healthcare organization's employees, Fraud, Healthcare Organization, Hacker Group XXX
444, 2023-02-14, 08:45, Beijing, Ransomware attack on a manufacturing company's systems, Extortion, Manufacturing Company, Ransomware Gang
445, 2023-02-13, 11:20, Los Angeles, Identity theft through compromised online shopping accounts, Identity Theft, Online Shoppers, Fraudster
446, 2023-02-12, 13:45, Toronto, Social media account hacking for spreading misinformation, Fraud, Social Media Users, Cybercriminal Group OOO
447, 2023-02-11, 08:50, Sydney, Unauthorized access to corporate network, Unauthorized Access, Corporation, Insider Employee
448, 2023-02-10, 10:25, Paris, Email account compromise leading to wire transfer fraud, Fraud, Individuals, Business Email Compromise Group AZ
449, 2023-02-09, 14:50, London, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group PPP
450, 2023-02-08, 08:45, Tokyo, Insider trading investigation at an investment firm, Financial Fraud, Investment Firm, Insider Employee
451, 2023-02-07, 11:20, New York, Phishing scam targeting banking customers, Fraud, Banking Customers, Phishing Gang
452, 2023-02-06, 14:55, Beijing, Unauthorized access to confidential legal files, Unauthorized Access, Law Firm, Insider Employee
453, 2023-02-05, 08:40, Mumbai, Email phishing scam targeting university students, Fraud, University Students, Phishing Gang
454, 2023-02-04, 11:15, Sao Paulo, Insider trading investigation at a financial institution, Financial Fraud, Financial Institution, Insider Employee
455, 2023-02-03, 13:40, Moscow, Phishing attack on a technology company's employees, Fraud, Technology Company, Phishing Gang
456, 2023-02-02, 08:55, Berlin, Business email compromise (BEC) scam targeting executives, Fraud, Executives, Business Email Compromise Group BA
457, 2023-02-01, 10:20, Los Angeles, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group QQQ
458, 2023-01-31, 12:45, Toronto, Insider trading investigation at a financial services firm, Financial Fraud, Financial Services Firm, Insider Employee
459, 2023-01-30, 14:50, Sydney, Phishing attack on a healthcare organization's employees, Fraud, Healthcare Organization, Hacker Group YYY
460, 2023-01-29, 08:45, Paris, Ransomware attack on a manufacturing company's systems, Extortion, Manufacturing Company, Ransomware Gang
461, 2023-01-28, 11:20, London, Identity theft through compromised online shopping accounts, Identity Theft, Online Shoppers, Fraudster
462, 2023-01-27, 13:45, Tokyo, Social media account hacking for spreading misinformation, Fraud, Social Media Users, Cybercriminal Group RRR
463, 2023-01-26, 08:50, New York, Unauthorized access to corporate network, Unauthorized Access, Corporation, Insider Employee
464, 2023-01-25, 10:25, Beijing, Email account compromise leading to wire transfer fraud, Fraud, Individuals, Business Email Compromise Group BA
465, 2023-01-24, 14:50, Mumbai, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group WWW
466, 2023-01-23, 08:45, Sao Paulo, Insider trading investigation at an investment firm, Financial Fraud, Investment Firm, Insider Employee
467, 2023-01-22, 11:20, Moscow, Phishing scam targeting banking customers, Fraud, Banking Customers, Phishing Gang
468, 2023-01-21, 14:55, Berlin, Unauthorized access to confidential legal files, Unauthorized Access, Law Firm, Insider Employee
469, 2023-01-20, 08:40, Los Angeles, Email phishing scam targeting university students, Fraud, University Students, Phishing Gang
470, 2023-01-19, 11:15, Toronto, Insider trading investigation at a financial institution, Financial Fraud, Financial Institution, Insider Employee
471, 2023-01-18, 13:40, Sydney, Phishing attack on a technology company's employees, Fraud, Technology Company, Phishing Gang
472, 2023-01-17, 08:55, Paris, Business email compromise (BEC) scam targeting executives, Fraud, Executives, Business Email Compromise Group BB
473, 2023-01-16, 10:20, London, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group SSS
474, 2023-01-15, 12:45, Tokyo, Insider trading investigation at a financial services firm, Financial Fraud, Financial Services Firm, Insider Employee
475, 2023-01-14, 14:50, New York, Phishing attack on a healthcare organization's employees, Fraud, Healthcare Organization, Hacker Group ZZZ
476, 2023-01-13, 08:45, Beijing, Ransomware attack on a manufacturing company's systems, Extortion, Manufacturing Company, Ransomware Gang
477, 2023-01-12, 11:20, Los Angeles, Identity theft through compromised online shopping accounts, Identity Theft, Online Shoppers, Fraudster
478, 2023-01-11, 13:45, Toronto, Social media account hacking for spreading misinformation, Fraud, Social Media Users, Cybercriminal Group TTT
479, 2023-01-10, 08:50, Sydney, Unauthorized access to corporate network, Unauthorized Access, Corporation, Insider Employee
480, 2023-01-09, 10:25, Paris, Email account compromise leading to wire transfer fraud, Fraud, Individuals, Business Email Compromise Group BC
